External ID,Parent External ID,Work Item Type,Title,State,Sprint,Phase,Epic,Feature,Description,Acceptance Criteria,Tags,Suggested Repo Artifact,Notes
US03.02.04,F03.02,User Story,Add ingestion metadata columns to bronze tables,New,Sprint 3,Phase 3,E03 SQL Server Ingestion,F03.02 Bronze Table Build,"As a data engineer, I want add ingestion metadata columns to bronze tables so that source file, batch, load status, row hash, and timestamps are captured.",Deliverable exists at sql/02_create_bronze_tables.sql; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-3; Phase-3; E03; F03.02; Audit; Lineage; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion,sql/02_create_bronze_tables.sql,
T03.02.04.1,US03.02.04,Task,Draft/build artifact for Add ingestion metadata columns to bronze tables,New,Sprint 3,Phase 3,E03 SQL Server Ingestion,F03.02 Bronze Table Build,Create the first complete version of the artifact or implementation for Add ingestion metadata columns to bronze tables.,,ClinicalPulse; Sprint-3; Phase-3; E03; F03.02; Audit; Lineage; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion,sql/02_create_bronze_tables.sql,
T03.02.04.2,US03.02.04,Task,Validate and document Add ingestion metadata columns to bronze tables,New,Sprint 3,Phase 3,E03 SQL Server Ingestion,F03.02 Bronze Table Build,"Check the work against acceptance criteria, document assumptions, and record evidence for Add ingestion metadata columns to bronze tables.",,ClinicalPulse; Sprint-3; Phase-3; E03; F03.02; Audit; Lineage; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion,sql/02_create_bronze_tables.sql,
T03.02.04.3,US03.02.04,Task,Commit and link implementation evidence for Add ingestion metadata columns to bronze tables,New,Sprint 3,Phase 3,E03 SQL Server Ingestion,F03.02 Bronze Table Build,"Commit related code/docs, reference the Azure Boards work item in the commit, and capture validation notes for Add ingestion metadata columns to bronze tables.",,ClinicalPulse; Sprint-3; Phase-3; E03; F03.02; Audit; Lineage; Evidence; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion,sql/02_create_bronze_tables.sql,
F03.03,E03,Feature,Python CSV Ingestion,New,Sprint 3,Phase 3,E03 SQL Server Ingestion,F03.03 Python CSV Ingestion,Load selected Synthea CSV files into SQL Server bronze tables through Python.,"Feature is complete when Python ingestion loads selected Synthea CSVs into bronze tables, records batch/file logs, reconciles row counts, and produces reproducible load evidence.",ClinicalPulse; Sprint-3; Phase-3; E03; F03.03; Python; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion,,
US03.03.01,F03.03,User Story,Build database configuration utilities,New,Sprint 3,Phase 3,E03 SQL Server Ingestion,F03.03 Python CSV Ingestion,"As a developer, I want build database configuration utilities so that database connection settings are centralized and do not expose secrets.",Deliverable exists at src/db_config.py; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-3; Phase-3; E03; F03.03; Python; Config; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion,src/db_config.py,
T03.03.01.1,US03.03.01,Task,Draft/build artifact for Build database configuration utilities,New,Sprint 3,Phase 3,E03 SQL Server Ingestion,F03.03 Python CSV Ingestion,Create the first complete version of the artifact or implementation for Build database configuration utilities.,,ClinicalPulse; Sprint-3; Phase-3; E03; F03.03; Python; Config; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion,src/db_config.py,
T03.03.01.2,US03.03.01,Task,Validate and document Build database configuration utilities,New,Sprint 3,Phase 3,E03 SQL Server Ingestion,F03.03 Python CSV Ingestion,"Check the work against acceptance criteria, document assumptions, and record evidence for Build database configuration utilities.",,ClinicalPulse; Sprint-3; Phase-3; E03; F03.03; Python; Config; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion,src/db_config.py,
US03.03.02,F03.03,User Story,Build Synthea CSV ingestion script,New,Sprint 3,Phase 3,E03 SQL Server Ingestion,F03.03 Python CSV Ingestion,"As a data engineer, I want build synthea csv ingestion script so that selected CSV files can be loaded into bronze tables repeatedly.",Deliverable exists at src/ingest_synthea_csv_to_sqlserver.py; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-3; Phase-3; E03; F03.03; Python; Ingestion; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion,src/ingest_synthea_csv_to_sqlserver.py,
T03.03.02.1,US03.03.02,Task,Draft/build artifact for Build Synthea CSV ingestion script,New,Sprint 3,Phase 3,E03 SQL Server Ingestion,F03.03 Python CSV Ingestion,Create the first complete version of the artifact or implementation for Build Synthea CSV ingestion script.,,ClinicalPulse; Sprint-3; Phase-3; E03; F03.03; Python; Ingestion; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion,src/ingest_synthea_csv_to_sqlserver.py,
T03.03.02.2,US03.03.02,Task,Validate and document Build Synthea CSV ingestion script,New,Sprint 3,Phase 3,E03 SQL Server Ingestion,F03.03 Python CSV Ingestion,"Check the work against acceptance criteria, document assumptions, and record evidence for Build Synthea CSV ingestion script.",,ClinicalPulse; Sprint-3; Phase-3; E03; F03.03; Python; Ingestion; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion,src/ingest_synthea_csv_to_sqlserver.py,
T03.03.02.3,US03.03.02,Task,Commit and link implementation evidence for Build Synthea CSV ingestion script,New,Sprint 3,Phase 3,E03 SQL Server Ingestion,F03.03 Python CSV Ingestion,"Commit related code/docs, reference the Azure Boards work item in the commit, and capture validation notes for Build Synthea CSV ingestion script.",,ClinicalPulse; Sprint-3; Phase-3; E03; F03.03; Python; Ingestion; Evidence; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion,src/ingest_synthea_csv_to_sqlserver.py,
US03.03.03,F03.03,User Story,Write ingestion logs to audit tables,New,Sprint 3,Phase 3,E03 SQL Server Ingestion,F03.03 Python CSV Ingestion,"As a data engineer, I want write ingestion logs to audit tables so that each load records file name, row count, batch ID, and status.",Deliverable exists at sql/audit_tables.sql; src/ingest_synthea_csv_to_sqlserver.py; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-3; Phase-3; E03; F03.03; Audit; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion,sql/audit_tables.sql; src/ingest_synthea_csv_to_sqlserver.py,
T03.03.03.1,US03.03.03,Task,Draft/build artifact for Write ingestion logs to audit tables,New,Sprint 3,Phase 3,E03 SQL Server Ingestion,F03.03 Python CSV Ingestion,Create the first complete version of the artifact or implementation for Write ingestion logs to audit tables.,,ClinicalPulse; Sprint-3; Phase-3; E03; F03.03; Audit; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion,sql/audit_tables.sql; src/ingest_synthea_csv_to_sqlserver.py,
T03.03.03.2,US03.03.03,Task,Validate and document Write ingestion logs to audit tables,New,Sprint 3,Phase 3,E03 SQL Server Ingestion,F03.03 Python CSV Ingestion,"Check the work against acceptance criteria, document assumptions, and record evidence for Write ingestion logs to audit tables.",,ClinicalPulse; Sprint-3; Phase-3; E03; F03.03; Audit; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion,sql/audit_tables.sql; src/ingest_synthea_csv_to_sqlserver.py,
T03.03.03.3,US03.03.03,Task,Commit and link implementation evidence for Write ingestion logs to audit tables,New,Sprint 3,Phase 3,E03 SQL Server Ingestion,F03.03 Python CSV Ingestion,"Commit related code/docs, reference the Azure Boards work item in the commit, and capture validation notes for Write ingestion logs to audit tables.",,ClinicalPulse; Sprint-3; Phase-3; E03; F03.03; Audit; Evidence; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion,sql/audit_tables.sql; src/ingest_synthea_csv_to_sqlserver.py,
US03.03.04,F03.03,User Story,Run initial load and verify row counts,New,Sprint 3,Phase 3,E03 SQL Server Ingestion,F03.03 Python CSV Ingestion,"As a BI developer, I want run initial load and verify row counts so that source counts and bronze counts are reconciled after the first load.",Deliverable exists at src/row_count_reconciliation.py; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-3; Phase-3; E03; F03.03; Reconciliation; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion,src/row_count_reconciliation.py,
T03.03.04.1,US03.03.04,Task,Draft/build artifact for Run initial load and verify row counts,New,Sprint 3,Phase 3,E03 SQL Server Ingestion,F03.03 Python CSV Ingestion,Create the first complete version of the artifact or implementation for Run initial load and verify row counts.,,ClinicalPulse; Sprint-3; Phase-3; E03; F03.03; Reconciliation; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion,src/row_count_reconciliation.py,
T03.03.04.2,US03.03.04,Task,Validate and document Run initial load and verify row counts,New,Sprint 3,Phase 3,E03 SQL Server Ingestion,F03.03 Python CSV Ingestion,"Check the work against acceptance criteria, document assumptions, and record evidence for Run initial load and verify row counts.",,ClinicalPulse; Sprint-3; Phase-3; E03; F03.03; Reconciliation; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion,src/row_count_reconciliation.py,
T03.03.04.3,US03.03.04,Task,Commit and link implementation evidence for Run initial load and verify row counts,New,Sprint 3,Phase 3,E03 SQL Server Ingestion,F03.03 Python CSV Ingestion,"Commit related code/docs, reference the Azure Boards work item in the commit, and capture validation notes for Run initial load and verify row counts.",,ClinicalPulse; Sprint-3; Phase-3; E03; F03.03; Reconciliation; Evidence; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion,src/row_count_reconciliation.py,
F04.01,E04,Feature,Silver Business Entities,New,Sprint 4-5,Phase 4-5,E04 Medallion Data Pipeline,F04.01 Silver Business Entities,Standardize bronze data into validated silver entities.,"Feature is complete when silver patient, encounter, condition, observation, procedure, organization, and provider entities use standardized naming, data types, derived fields, quality flags, and bronze lineage fields.",ClinicalPulse; Sprint-4-5; Phase-4-5; E04; F04.01; Silver; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 4 - Silver Layer and Validation,,
US04.01.01,F04.01,User Story,Build silver.patient,New,Sprint 4-5,Phase 4-5,E04 Medallion Data Pipeline,F04.01 Silver Business Entities,"As a BI developer, I want build silver.patient so that patient demographics, age bands, and lineage fields are standardized.",Deliverable exists at sql/03_create_silver_tables.sql; sql/05_transform_bronze_to_silver.sql; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-4-5; Phase-4-5; E04; F04.01; Silver; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 4 - Silver Layer and Validation,sql/03_create_silver_tables.sql; sql/05_transform_bronze_to_silver.sql,
T04.01.01.1,US04.01.01,Task,Draft/build artifact for Build silver.patient,New,Sprint 4-5,Phase 4-5,E04 Medallion Data Pipeline,F04.01 Silver Business Entities,Create the first complete version of the artifact or implementation for Build silver.patient.,,ClinicalPulse; Sprint-4-5; Phase-4-5; E04; F04.01; Silver; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 4 - Silver Layer and Validation,sql/03_create_silver_tables.sql; sql/05_transform_bronze_to_silver.sql,
T04.01.01.2,US04.01.01,Task,Validate and document Build silver.patient,New,Sprint 4-5,Phase 4-5,E04 Medallion Data Pipeline,F04.01 Silver Business Entities,"Check the work against acceptance criteria, document assumptions, and record evidence for Build silver.patient.",,ClinicalPulse; Sprint-4-5; Phase-4-5; E04; F04.01; Silver; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 4 - Silver Layer and Validation,sql/03_create_silver_tables.sql; sql/05_transform_bronze_to_silver.sql,
T04.01.01.3,US04.01.01,Task,Commit and link implementation evidence for Build silver.patient,New,Sprint 4-5,Phase 4-5,E04 Medallion Data Pipeline,F04.01 Silver Business Entities,"Commit related code/docs, reference the Azure Boards work item in the commit, and capture validation notes for Build silver.patient.",,ClinicalPulse; Sprint-4-5; Phase-4-5; E04; F04.01; Silver; Evidence; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 4 - Silver Layer and Validation,sql/03_create_silver_tables.sql; sql/05_transform_bronze_to_silver.sql,
US04.01.02,F04.01,User Story,Build silver.encounter with LOS fields,New,Sprint 4-5,Phase 4-5,E04 Medallion Data Pipeline,F04.01 Silver Business Entities,"As a BI developer, I want build silver.encounter with los fields so that encounter class, start/stop, duration, and invalid-date flags are available.",Deliverable exists at sql/03_create_silver_tables.sql; sql/05_transform_bronze_to_silver.sql; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-4-5; Phase-4-5; E04; F04.01; Silver; LOS; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 4 - Silver Layer and Validation,sql/03_create_silver_tables.sql; sql/05_transform_bronze_to_silver.sql,
T04.01.02.1,US04.01.02,Task,Draft/build artifact for Build silver.encounter with LOS fields,New,Sprint 4-5,Phase 4-5,E04 Medallion Data Pipeline,F04.01 Silver Business Entities,Create the first complete version of the artifact or implementation for Build silver.encounter with LOS fields.,,ClinicalPulse; Sprint-4-5; Phase-4-5; E04; F04.01; Silver; LOS; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 4 - Silver Layer and Validation,sql/03_create_silver_tables.sql; sql/05_transform_bronze_to_silver.sql,
T04.01.02.2,US04.01.02,Task,Validate and document Build silver.encounter with LOS fields,New,Sprint 4-5,Phase 4-5,E04 Medallion Data Pipeline,F04.01 Silver Business Entities,"Check the work against acceptance criteria, document assumptions, and record evidence for Build silver.encounter with LOS fields.",,ClinicalPulse; Sprint-4-5; Phase-4-5; E04; F04.01; Silver; LOS; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 4 - Silver Layer and Validation,sql/03_create_silver_tables.sql; sql/05_transform_bronze_to_silver.sql,
T04.01.02.3,US04.01.02,Task,Commit and link implementation evidence for Build silver.encounter with LOS fields,New,Sprint 4-5,Phase 4-5,E04 Medallion Data Pipeline,F04.01 Silver Business Entities,"Commit related code/docs, reference the Azure Boards work item in the commit, and capture validation notes for Build silver.encounter with LOS fields.",,ClinicalPulse; Sprint-4-5; Phase-4-5; E04; F04.01; Silver; LOS; Evidence; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 4 - Silver Layer and Validation,sql/03_create_silver_tables.sql; sql/05_transform_bronze_to_silver.sql,
US04.01.03,F04.01,User Story,"Build silver condition, procedure, and observation entities",New,Sprint 4-5,Phase 4-5,E04 Medallion Data Pipeline,F04.01 Silver Business Entities,"As a BI developer, I want build silver condition, procedure, and observation entities so that clinical context entities are standardized for reporting and quality checks.",Deliverable exists at sql/03_create_silver_tables.sql; sql/05_transform_bronze_to_silver.sql; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-4-5; Phase-4-5; E04; F04.01; Silver; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 4 - Silver Layer and Validation,sql/03_create_silver_tables.sql; sql/05_transform_bronze_to_silver.sql,
T04.01.03.1,US04.01.03,Task,"Draft/build artifact for Build silver condition, procedure, and observation entities",New,Sprint 4-5,Phase 4-5,E04 Medallion Data Pipeline,F04.01 Silver Business Entities,"Create the first complete version of the artifact or implementation for Build silver condition, procedure, and observation entities.",,ClinicalPulse; Sprint-4-5; Phase-4-5; E04; F04.01; Silver; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 4 - Silver Layer and Validation,sql/03_create_silver_tables.sql; sql/05_transform_bronze_to_silver.sql,
T04.01.03.2,US04.01.03,Task,"Validate and document Build silver condition, procedure, and observation entities",New,Sprint 4-5,Phase 4-5,E04 Medallion Data Pipeline,F04.01 Silver Business Entities,"Check the work against acceptance criteria, document assumptions, and record evidence for Build silver condition, procedure, and observation entities.",,ClinicalPulse; Sprint-4-5; Phase-4-5; E04; F04.01; Silver; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 4 - Silver Layer and Validation,sql/03_create_silver_tables.sql; sql/05_transform_bronze_to_silver.sql,
T04.01.03.3,US04.01.03,Task,"Commit and link implementation evidence for Build silver condition, procedure, and observation entities",New,Sprint 4-5,Phase 4-5,E04 Medallion Data Pipeline,F04.01 Silver Business Entities,"Commit related code/docs, reference the Azure Boards work item in the commit, and capture validation notes for Build silver condition, procedure, and observation entities.",,ClinicalPulse; Sprint-4-5; Phase-4-5; E04; F04.01; Silver; Evidence; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 4 - Silver Layer and Validation,sql/03_create_silver_tables.sql; sql/05_transform_bronze_to_silver.sql,
US04.01.04,F04.01,User Story,Preserve lineage from bronze to silver,New,Sprint 4-5,Phase 4-5,E04 Medallion Data Pipeline,F04.01 Silver Business Entities,"As a data steward, I want preserve lineage from bronze to silver so that silver records can be traced back to bronze source records.",Deliverable exists at sql/05_transform_bronze_to_silver.sql; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-4-5; Phase-4-5; E04; F04.01; Lineage; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 4 - Silver Layer and Validation,sql/05_transform_bronze_to_silver.sql,
T04.01.04.1,US04.01.04,Task,Draft/build artifact for Preserve lineage from bronze to silver,New,Sprint 4-5,Phase 4-5,E04 Medallion Data Pipeline,F04.01 Silver Business Entities,Create the first complete version of the artifact or implementation for Preserve lineage from bronze to silver.,,ClinicalPulse; Sprint-4-5; Phase-4-5; E04; F04.01; Lineage; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 4 - Silver Layer and Validation,sql/05_transform_bronze_to_silver.sql,
T04.01.04.2,US04.01.04,Task,Validate and document Preserve lineage from bronze to silver,New,Sprint 4-5,Phase 4-5,E04 Medallion Data Pipeline,F04.01 Silver Business Entities,"Check the work against acceptance criteria, document assumptions, and record evidence for Preserve lineage from bronze to silver.",,ClinicalPulse; Sprint-4-5; Phase-4-5; E04; F04.01; Lineage; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 4 - Silver Layer and Validation,sql/05_transform_bronze_to_silver.sql,
T04.01.04.3,US04.01.04,Task,Commit and link implementation evidence for Preserve lineage from bronze to silver,New,Sprint 4-5,Phase 4-5,E04 Medallion Data Pipeline,F04.01 Silver Business Entities,"Commit related code/docs, reference the Azure Boards work item in the commit, and capture validation notes for Preserve lineage from bronze to silver.",,ClinicalPulse; Sprint-4-5; Phase-4-5; E04; F04.01; Lineage; Evidence; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 4 - Silver Layer and Validation,sql/05_transform_bronze_to_silver.sql,
F04.02,E04,Feature,Gold Dimensional Model,New,Sprint 4-5,Phase 4-5,E04 Medallion Data Pipeline,F04.02 Gold Dimensional Model,Create fact and dimension tables that support Power BI and KPI logic.,"Feature is complete when gold fact and dimension tables support Power BI relationships, KPI calculation, date filtering, encounter/condition/observation/procedure analysis, readmission logic, and data quality reporting.",ClinicalPulse; Sprint-4-5; Phase-4-5; E04; F04.02; Gold; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 5 - Gold Layer and Marts,,
US04.02.01,F04.02,User Story,Create gold dimensions,New,Sprint 4-5,Phase 4-5,E04 Medallion Data Pipeline,F04.02 Gold Dimensional Model,"As a BI developer, I want create gold dimensions so that patient, date, organization, provider, encounter class, condition, observation, and procedure dimensions exist.",Deliverable exists at sql/04_create_gold_tables.sql; sql/06_transform_silver_to_gold.sql; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-4-5; Phase-4-5; E04; F04.02; Gold; Star-Schema; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 5 - Gold Layer and Marts,sql/04_create_gold_tables.sql; sql/06_transform_silver_to_gold.sql,
T04.02.01.1,US04.02.01,Task,Draft/build artifact for Create gold dimensions,New,Sprint 4-5,Phase 4-5,E04 Medallion Data Pipeline,F04.02 Gold Dimensional Model,Create the first complete version of the artifact or implementation for Create gold dimensions.,,ClinicalPulse; Sprint-4-5; Phase-4-5; E04; F04.02; Gold; Star-Schema; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 5 - Gold Layer and Marts,sql/04_create_gold_tables.sql; sql/06_transform_silver_to_gold.sql,
T04.02.01.2,US04.02.01,Task,Validate and document Create gold dimensions,New,Sprint 4-5,Phase 4-5,E04 Medallion Data Pipeline,F04.02 Gold Dimensional Model,"Check the work against acceptance criteria, document assumptions, and record evidence for Create gold dimensions.",,ClinicalPulse; Sprint-4-5; Phase-4-5; E04; F04.02; Gold; Star-Schema; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 5 - Gold Layer and Marts,sql/04_create_gold_tables.sql; sql/06_transform_silver_to_gold.sql,
T04.02.01.3,US04.02.01,Task,Commit and link implementation evidence for Create gold dimensions,New,Sprint 4-5,Phase 4-5,E04 Medallion Data Pipeline,F04.02 Gold Dimensional Model,"Commit related code/docs, reference the Azure Boards work item in the commit, and capture validation notes for Create gold dimensions.",,ClinicalPulse; Sprint-4-5; Phase-4-5; E04; F04.02; Gold; Star-Schema; Evidence; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 5 - Gold Layer and Marts,sql/04_create_gold_tables.sql; sql/06_transform_silver_to_gold.sql,
US04.02.02,F04.02,User Story,Create gold encounter and readmission facts,New,Sprint 4-5,Phase 4-5,E04 Medallion Data Pipeline,F04.02 Gold Dimensional Model,"As a BI developer, I want create gold encounter and readmission facts so that encounter volume, LOS, and 30-day readmission logic can be calculated.",Deliverable exists at sql/04_create_gold_tables.sql; sql/06_transform_silver_to_gold.sql; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-4-5; Phase-4-5; E04; F04.02; Gold; Readmissions; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 5 - Gold Layer and Marts,sql/04_create_gold_tables.sql; sql/06_transform_silver_to_gold.sql,
T04.02.02.1,US04.02.02,Task,Draft/build artifact for Create gold encounter and readmission facts,New,Sprint 4-5,Phase 4-5,E04 Medallion Data Pipeline,F04.02 Gold Dimensional Model,Create the first complete version of the artifact or implementation for Create gold encounter and readmission facts.,,ClinicalPulse; Sprint-4-5; Phase-4-5; E04; F04.02; Gold; Readmissions; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 5 - Gold Layer and Marts,sql/04_create_gold_tables.sql; sql/06_transform_silver_to_gold.sql,
T04.02.02.2,US04.02.02,Task,Validate and document Create gold encounter and readmission facts,New,Sprint 4-5,Phase 4-5,E04 Medallion Data Pipeline,F04.02 Gold Dimensional Model,"Check the work against acceptance criteria, document assumptions, and record evidence for Create gold encounter and readmission facts.",,ClinicalPulse; Sprint-4-5; Phase-4-5; E04; F04.02; Gold; Readmissions; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 5 - Gold Layer and Marts,sql/04_create_gold_tables.sql; sql/06_transform_silver_to_gold.sql,
T04.02.02.3,US04.02.02,Task,Commit and link implementation evidence for Create gold encounter and readmission facts,New,Sprint 4-5,Phase 4-5,E04 Medallion Data Pipeline,F04.02 Gold Dimensional Model,"Commit related code/docs, reference the Azure Boards work item in the commit, and capture validation notes for Create gold encounter and readmission facts.",,ClinicalPulse; Sprint-4-5; Phase-4-5; E04; F04.02; Gold; Readmissions; Evidence; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 5 - Gold Layer and Marts,sql/04_create_gold_tables.sql; sql/06_transform_silver_to_gold.sql,
US04.02.03,F04.02,User Story,"Create gold condition, observation, and procedure facts",New,Sprint 4-5,Phase 4-5,E04 Medallion Data Pipeline,F04.02 Gold Dimensional Model,"As a BI developer, I want create gold condition, observation, and procedure facts so that case-mix, lab activity, and service utilization can be analyzed.",Deliverable exists at sql/04_create_gold_tables.sql; sql/06_transform_silver_to_gold.sql; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-4-5; Phase-4-5; E04; F04.02; Gold; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 5 - Gold Layer and Marts,sql/04_create_gold_tables.sql; sql/06_transform_silver_to_gold.sql,
T04.02.03.1,US04.02.03,Task,"Draft/build artifact for Create gold condition, observation, and procedure facts",New,Sprint 4-5,Phase 4-5,E04 Medallion Data Pipeline,F04.02 Gold Dimensional Model,"Create the first complete version of the artifact or implementation for Create gold condition, observation, and procedure facts.",,ClinicalPulse; Sprint-4-5; Phase-4-5; E04; F04.02; Gold; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 5 - Gold Layer and Marts,sql/04_create_gold_tables.sql; sql/06_transform_silver_to_gold.sql,
T04.02.03.2,US04.02.03,Task,"Validate and document Create gold condition, observation, and procedure facts",New,Sprint 4-5,Phase 4-5,E04 Medallion Data Pipeline,F04.02 Gold Dimensional Model,"Check the work against acceptance criteria, document assumptions, and record evidence for Create gold condition, observation, and procedure facts.",,ClinicalPulse; Sprint-4-5; Phase-4-5; E04; F04.02; Gold; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 5 - Gold Layer and Marts,sql/04_create_gold_tables.sql; sql/06_transform_silver_to_gold.sql,
T04.02.03.3,US04.02.03,Task,"Commit and link implementation evidence for Create gold condition, observation, and procedure facts",New,Sprint 4-5,Phase 4-5,E04 Medallion Data Pipeline,F04.02 Gold Dimensional Model,"Commit related code/docs, reference the Azure Boards work item in the commit, and capture validation notes for Create gold condition, observation, and procedure facts.",,ClinicalPulse; Sprint-4-5; Phase-4-5; E04; F04.02; Gold; Evidence; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 5 - Gold Layer and Marts,sql/04_create_gold_tables.sql; sql/06_transform_silver_to_gold.sql,
US04.02.04,F04.02,User Story,Create gold data quality issue fact,New,Sprint 4-5,Phase 4-5,E04 Medallion Data Pipeline,F04.02 Gold Dimensional Model,"As a data steward, I want create gold data quality issue fact so that quality issues can be counted and surfaced in reporting.",Deliverable exists at sql/04_create_gold_tables.sql; sql/06_transform_silver_to_gold.sql; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-4-5; Phase-4-5; E04; F04.02; Gold; Data-Quality; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 5 - Gold Layer and Marts,sql/04_create_gold_tables.sql; sql/06_transform_silver_to_gold.sql,
